epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3513,1.19954,2.22635,1.36422,0.68751,0.55008,0.66141,0.41726,1.28002,2.95911,1.38847,0.000659574,0.000659574,0.000659574
2,178.348,1.17612,1.6963,1.35582,0.67883,0.61111,0.5556,0.36363,1.49251,2.09071,1.84098,0.00131311,0.00131311,0.00131311
3,266.154,1.19966,1.57169,1.40075,0.88824,0.66234,0.75869,0.50107,1.23086,1.69859,1.44984,0.00195345,0.00195345,0.00195345
4,353.916,1.21012,1.38075,1.37172,0.77967,0.81944,0.86009,0.53216,1.31952,1.26283,1.38277,0.0019406,0.0019406,0.0019406
5,441.831,1.13108,1.2145,1.34039,0.88451,0.85099,0.90757,0.61024,1.08807,1.20854,1.47694,0.0019208,0.0019208,0.0019208
6,529.888,1.10752,1.06478,1.29435,0.95442,0.87246,0.90872,0.61483,1.17506,0.98026,1.39598,0.001901,0.001901,0.001901
7,617.955,1.05802,0.99539,1.28699,0.9185,0.78269,0.92273,0.66305,0.95671,1.03359,1.29604,0.0018812,0.0018812,0.0018812
8,706.022,1.04412,0.92938,1.24521,0.84041,0.88889,0.90407,0.68298,0.99001,0.78169,1.29331,0.0018614,0.0018614,0.0018614
9,793.984,1.01189,0.91075,1.27128,0.91442,0.81944,0.90241,0.67139,1.01077,0.8492,1.30997,0.0018416,0.0018416,0.0018416
10,881.883,1.00387,0.91964,1.25345,0.98362,0.88889,0.95843,0.70041,1.00418,0.79092,1.26383,0.0018218,0.0018218,0.0018218
11,969.834,0.95498,0.83352,1.20993,0.91552,0.9031,0.95962,0.69624,0.97126,0.83135,1.30513,0.001802,0.001802,0.001802
12,1057.72,0.96722,0.81228,1.22151,0.85987,0.97222,0.96109,0.75779,0.88073,0.69341,1.35239,0.0017822,0.0017822,0.0017822
13,1145.67,0.95252,0.79877,1.22194,0.94146,0.94444,0.95304,0.72689,0.89088,0.72303,1.22982,0.0017624,0.0017624,0.0017624
14,1233.58,0.96632,0.78917,1.20066,0.9174,0.92556,0.95959,0.72117,0.87204,0.6336,1.23621,0.0017426,0.0017426,0.0017426
15,1321.53,0.92774,0.77395,1.20031,0.96705,0.93056,0.9751,0.76814,0.80126,0.68646,1.16841,0.0017228,0.0017228,0.0017228
16,1409.48,0.93128,0.73461,1.19305,0.95723,0.88889,0.95807,0.70049,1.02449,0.76808,1.33202,0.001703,0.001703,0.001703
17,1497.4,0.88968,0.72389,1.17365,0.85798,0.94444,0.9324,0.73235,0.83935,0.72441,1.21179,0.0016832,0.0016832,0.0016832
18,1585.31,0.92467,0.72874,1.19286,0.94017,0.95833,0.97696,0.79392,0.78351,0.55361,1.14974,0.0016634,0.0016634,0.0016634
19,1673.42,0.93837,0.72058,1.17725,0.91764,0.875,0.93888,0.71996,0.89209,0.69626,1.18363,0.0016436,0.0016436,0.0016436
20,1761.34,0.8821,0.70729,1.1552,0.98126,0.90278,0.96398,0.78483,0.78041,0.6665,1.14075,0.0016238,0.0016238,0.0016238
21,1849.36,0.9253,0.70175,1.18609,0.98673,0.97222,0.99433,0.7799,0.80168,0.56079,1.17172,0.001604,0.001604,0.001604
22,1937.32,0.88698,0.65647,1.14715,1,0.95434,0.9905,0.79368,0.79932,0.50706,1.16092,0.0015842,0.0015842,0.0015842
23,2025.34,0.91509,0.66086,1.15677,0.97119,0.93656,0.98062,0.77459,0.79675,0.54354,1.15547,0.0015644,0.0015644,0.0015644
24,2113.31,0.85508,0.62157,1.13642,0.99699,0.95833,0.9914,0.78345,0.8223,0.51739,1.11151,0.0015446,0.0015446,0.0015446
25,2201.26,0.88213,0.6408,1.1464,0.99498,0.94444,0.98872,0.81219,0.71537,0.49412,1.09753,0.0015248,0.0015248,0.0015248
26,2289.21,0.84019,0.61864,1.12611,1,0.95589,0.99032,0.77859,0.82032,0.48115,1.23908,0.001505,0.001505,0.001505
27,2377.14,0.83962,0.62474,1.1277,1,0.9302,0.98509,0.79246,0.72902,0.48577,1.13923,0.0014852,0.0014852,0.0014852
28,2465.16,0.89334,0.60802,1.14941,0.95966,0.98611,0.98404,0.78487,0.78633,0.52005,1.14626,0.0014654,0.0014654,0.0014654
29,2553.06,0.82802,0.61107,1.12245,0.96425,0.95833,0.98609,0.81376,0.76096,0.49156,1.16302,0.0014456,0.0014456,0.0014456
30,2640.99,0.81308,0.58305,1.11165,0.98228,0.94444,0.98311,0.8141,0.69232,0.44669,1.09685,0.0014258,0.0014258,0.0014258
31,2728.93,0.84877,0.60669,1.12426,0.97074,0.98611,0.98961,0.80174,0.7534,0.47248,1.10232,0.001406,0.001406,0.001406
32,2816.89,0.80504,0.58468,1.10247,0.9859,0.9709,0.9921,0.81003,0.70335,0.44326,1.14797,0.0013862,0.0013862,0.0013862
33,2904.94,0.82658,0.56545,1.10927,0.94275,0.98611,0.9882,0.79098,0.74847,0.47541,1.11549,0.0013664,0.0013664,0.0013664
34,2992.84,0.80222,0.58213,1.12732,0.98526,0.92835,0.96575,0.80089,0.72481,0.49149,1.12047,0.0013466,0.0013466,0.0013466
35,3080.82,0.84792,0.58046,1.12524,0.9854,0.93756,0.98091,0.79598,0.79228,0.51767,1.09159,0.0013268,0.0013268,0.0013268
36,3168.75,0.78841,0.56926,1.11473,0.96758,0.95833,0.99018,0.81575,0.71306,0.43273,1.10453,0.001307,0.001307,0.001307
37,3256.76,0.819,0.57133,1.12085,0.98027,0.93056,0.97623,0.8219,0.68694,0.47535,1.09716,0.0012872,0.0012872,0.0012872
38,3344.73,0.77869,0.5438,1.09204,0.99872,0.93056,0.98427,0.81379,0.68668,0.45842,1.13815,0.0012674,0.0012674,0.0012674
39,3432.76,0.8014,0.55744,1.09376,0.98324,0.93056,0.97641,0.79663,0.68727,0.49638,1.09875,0.0012476,0.0012476,0.0012476
40,3520.72,0.74787,0.51617,1.08472,0.97893,0.98611,0.98691,0.80315,0.72717,0.47171,1.12002,0.0012278,0.0012278,0.0012278
41,3608.67,0.78423,0.54817,1.09609,0.97095,0.92856,0.96678,0.8145,0.74432,0.51315,1.14961,0.001208,0.001208,0.001208
42,3696.66,0.77583,0.52192,1.08623,0.97181,1,0.99404,0.8228,0.73249,0.42276,1.13218,0.0011882,0.0011882,0.0011882
43,3784.84,0.76976,0.51689,1.07863,0.98435,0.95833,0.99075,0.79224,0.77579,0.46692,1.10817,0.0011684,0.0011684,0.0011684
44,3872.74,0.75326,0.51819,1.08245,0.98437,0.95833,0.98305,0.81859,0.69593,0.39913,1.1358,0.0011486,0.0011486,0.0011486
45,3960.71,0.80072,0.5351,1.09334,0.98588,0.9695,0.98123,0.81774,0.7041,0.42687,1.13543,0.0011288,0.0011288,0.0011288
46,4048.61,0.74304,0.50608,1.07374,0.9863,0.99999,0.99377,0.84054,0.65657,0.4027,1.06367,0.001109,0.001109,0.001109
47,4136.57,0.7587,0.5113,1.07919,0.95779,0.95833,0.97559,0.83166,0.65336,0.42163,1.07977,0.0010892,0.0010892,0.0010892
48,4224.57,0.75723,0.50061,1.06633,0.96987,0.98611,0.98231,0.83464,0.66285,0.41213,1.06858,0.0010694,0.0010694,0.0010694
49,4312.53,0.7289,0.48759,1.06304,0.98618,1,0.99445,0.84734,0.66497,0.37849,1.07527,0.0010496,0.0010496,0.0010496
50,4400.48,0.71517,0.47055,1.05053,0.97195,0.97222,0.98404,0.84978,0.6561,0.36827,1.08821,0.0010298,0.0010298,0.0010298
51,4488.51,0.75873,0.49212,1.06687,0.95687,0.97222,0.97348,0.83615,0.67696,0.47231,1.08692,0.00101,0.00101,0.00101
52,4576.48,0.74586,0.47876,1.06012,0.99634,1,0.995,0.82973,0.65981,0.36272,1.10298,0.0009902,0.0009902,0.0009902
53,4664.38,0.70866,0.47251,1.04672,0.98588,0.98611,0.99459,0.83435,0.66557,0.37322,1.09537,0.0009704,0.0009704,0.0009704
54,4752.36,0.73538,0.48799,1.06577,0.97886,0.98611,0.99391,0.83791,0.65711,0.40761,1.09511,0.0009506,0.0009506,0.0009506
55,4840.43,0.73121,0.46316,1.056,0.99255,0.95833,0.9916,0.84331,0.63754,0.4059,1.06707,0.0009308,0.0009308,0.0009308
56,4928.34,0.73121,0.47548,1.05419,0.99697,0.98611,0.99486,0.83792,0.64668,0.3739,1.05441,0.000911,0.000911,0.000911
57,5016.34,0.72777,0.47251,1.05405,0.99899,0.95833,0.98913,0.84648,0.68577,0.41612,1.08123,0.0008912,0.0008912,0.0008912
58,5104.29,0.73734,0.47274,1.04717,0.98376,0.98611,0.99319,0.85231,0.62988,0.36232,1.05523,0.0008714,0.0008714,0.0008714
59,5192.26,0.72291,0.46193,1.05222,1,0.98439,0.99473,0.8631,0.62088,0.3442,1.05131,0.0008516,0.0008516,0.0008516
60,5280.29,0.70599,0.4522,1.04205,0.97526,0.98611,0.99418,0.85052,0.66311,0.37327,1.07748,0.0008318,0.0008318,0.0008318
61,5368.28,0.68525,0.44252,1.03379,0.98758,0.97222,0.99459,0.85651,0.65393,0.35989,1.08369,0.000812,0.000812,0.000812
62,5456.16,0.6943,0.44667,1.03577,0.99583,0.97222,0.99421,0.84568,0.6476,0.37337,1.06767,0.0007922,0.0007922,0.0007922
63,5544.08,0.70122,0.44381,1.04179,0.98436,0.98611,0.99378,0.84946,0.64857,0.36746,1.06903,0.0007724,0.0007724,0.0007724
64,5632,0.69984,0.44083,1.03873,0.9859,0.97123,0.98312,0.84022,0.67961,0.37741,1.07474,0.0007526,0.0007526,0.0007526
65,5719.94,0.68332,0.42949,1.024,0.98609,0.98442,0.99421,0.85199,0.63404,0.35097,1.07219,0.0007328,0.0007328,0.0007328
66,5807.87,0.71702,0.45346,1.04614,1,0.97171,0.99421,0.85395,0.62254,0.35545,1.03549,0.000713,0.000713,0.000713
67,5895.83,0.68537,0.42923,1.02837,0.98314,1,0.99473,0.84759,0.65152,0.36017,1.0553,0.0006932,0.0006932,0.0006932
68,5983.77,0.6627,0.42219,1.01503,1,0.98365,0.99378,0.83898,0.64156,0.37693,1.05777,0.0006734,0.0006734,0.0006734
69,6071.76,0.69346,0.44038,1.02692,0.9845,0.97222,0.98252,0.84115,0.6354,0.38572,1.05767,0.0006536,0.0006536,0.0006536
70,6159.71,0.676,0.42117,1.02474,0.98493,0.97222,0.99181,0.85336,0.62323,0.38099,1.02922,0.0006338,0.0006338,0.0006338
71,6247.66,0.64186,0.40723,1.01928,0.95938,0.9841,0.98193,0.84939,0.65097,0.37516,1.06281,0.000614,0.000614,0.000614
72,6335.67,0.66904,0.41956,1.02216,0.98593,0.97328,0.99446,0.84677,0.64556,0.35258,1.07158,0.0005942,0.0005942,0.0005942
73,6423.63,0.67415,0.42217,1.02101,1,0.97185,0.98802,0.84337,0.63574,0.36828,1.05686,0.0005744,0.0005744,0.0005744
74,6511.58,0.65762,0.41313,1.02088,0.99861,0.98611,0.99473,0.8496,0.63052,0.33776,1.04985,0.0005546,0.0005546,0.0005546
75,6599.56,0.68888,0.41781,1.02364,0.97253,0.98328,0.99296,0.84814,0.65901,0.36348,1.06837,0.0005348,0.0005348,0.0005348
76,6687.53,0.66983,0.40057,1.02203,0.99474,1,0.995,0.85761,0.62496,0.33034,1.0444,0.000515,0.000515,0.000515
